"영화명,id,nickname,text,score,like,dislike,time,watch_movie"
"로망,0,한작가(hana****),""이런 영화 돈 안되는 거 알면서도 만든 제작자에 박수를,,,"",9,409,13,2019-04-03 16:00:00,0"
"로망,1,보리차(taij****),남들 눈엔 노망이라도. 나에게는 로망이기를.,8,372,16,2019-04-03 11:47:00,0"
"로망,2,hkjj****,상영관이 생각보다 넘 없네요..볼만한 영화인거 같은데,9,201,18,2019-04-03 09:25:00,0"
"로망,3,블리블리(stop****),억지 감동이 아닌 영화라 너무 좋았고 가족끼리 보기 딱 좋네요. 많은 생각을 하게 만드는 영화 같습니다 추천합니다.,10,181,4,2019-04-03 10:19:00,0"
"로망,4,hsh1****,치매가 얼마나 무서운 질병인지 알려주고 부모님의 소중함과 효도를 해야겠다라는 생각이 깊게 들게 해주는 영화인거같습니다.한번 적어도 혼자서라도 보거나 가족분들과 보러가는것도 좋을꺼같습니다.,10,140,4,2019-04-03 09:52:00,0"
"로망,5,슈퍼 바이크(cana****),이순재 정영숙님 인생드라마 명품연기 감사합니다,10,125,7,2019-04-03 13:41:00,0"
"로망,6,bsu1****,""가슴 아프고 부모님을 돌아볼 영화,,"",8,98,3,2019-04-03 09:39:00,0"
"로망,7,mic(mics****),결혼한 남자분이 보시면 배우자를 다시 생각하게 만드는 영화입니다~,10,103,11,2019-04-03 11:07:00,0"
"로망,8,추니(gceh****),엉엉 소리내어 울고 싶었던 영화  아직도 가슴이 먹먹,10,78,2,2019-04-03 13:12:00,0"
"로망,9,나의작은별(litt****),보다가 너무 많이 움 ㅠ ㅠ,10,79,6,2019-04-03 13:39:00,0"
"로망,10,뷰자데(ciel****),어머니와 함께 봤습니다. 울고 웃으며 많은 생각이 들었어요. 극장에 부모님 모시고 가서 보세요. 참 좋은 영화입니다.,9,72,5,2019-04-03 11:35:00,0"
"로망,11,김지혜(wlsu****),완전 감동적이네요다시한번 삶을 돌아보게 되는 영화같아요이게 바로 명작 아니겠습니까ㅠㅠ,10,60,4,2019-04-03 13:33:00,0"
"로망,12,완행(duso****),로망을 보면서 나의 앞날을 보는것 같아서 울었고~~치매로 며칠전에 돌아가신 울 엄마 생각이 나서 울었고~~마음과 코끝이 찡하네용^넘 좋았어요^^,10,59,4,2019-04-05 09:22:00,0"
"로망,13,tbcm****,자극적인 뉴스에 지친 일상에 단비처럼 감성을 촉촉히 적셔주는 영화. 부모님의 삶에 대해 다시한번 생각해보고  또 살아계실때 효도해야겠다는 생각이 드는 영화. 보는 내내 지루하지 않고 자극적이지 않아 좋았던 근래들어 ...,10,53,2,2019-04-03 14:56:00,0"
"로망,14,구민혜(minh****),스토리넘좋네요 가족을다시생각하게되는 시간이었어요,10,53,2,2019-04-03 13:31:00,0"
