품사,Punctuation,,,,,,
,,,,,,,
평균 : 상대빈도,열 레이블,,,,,,
행 레이블,감쪽같은그녀,결백,그대를사랑,내머리속에,로망,오문희,총합계
(-Punctuation,18.97%,19.11%,6.15%,8.97%,18.24%,19.16%,15.10%
****)-Punctuation,18.79%,18.98%,6.08%,8.95%,18.00%,19.09%,14.98%
****-Punctuation,3.90%,3.57%,,25.70%,5.22%,2.98%,8.27%
_****)-Punctuation,0.15%,0.11%,0.05%,0.03%,0.24%,0.07%,0.11%
_-Punctuation,0.18%,0.21%,0.66%,0.23%,0.16%,0.07%,0.25%
_****-Punctuation,0.01%,,0.41%,0.18%,0.04%,0.01%,0.13%
-****)-Punctuation,,0.02%,,,,,0.02%
-****)-Punctuation,,,0.01%,0.01%,,,0.01%
-****)-Punctuation,,0.01%,,,,,0.01%
-****)-Punctuation,,0.01%,,0.01%,,,0.01%
-****)-Punctuation,,0.01%,0.01%,0.01%,,,0.01%
-****)-Punctuation,0.03%,0.01%,,,,,0.02%
-****)-Punctuation,0.01%,0.01%,,,,,0.01%
-****)-Punctuation,,,0.02%,,,,0.02%
-****)-Punctuation,,,0.02%,,,,0.02%
-****)-Punctuation,5.26%,3.82%,1.49%,4.90%,6.98%,6.90%,4.59%
